IATA,ICAO,NAME,COUNTRY,ELEVATION,LATITUDE,LONGITUDE,WIKIPEDIA
AAQ,URKA,Vityazevo Airport,RU,174 feet,"45° 0' 7.57"" N","37° 20' 50.29"" E",https://en.wikipedia.org/wiki/Anapa_Airport
AAR,EKAH,Aarhus Airport,DK,82 feet,"56° 17' 60.00"" N","10° 37' 8.40"" E",https://en.wikipedia.org/wiki/Aarhus_Airport
AAT,ZWAT,Altay Airport,CN,"4,378 feet","47° 44' 59.59"" N","88° 5' 8.91"" E",https://en.wikipedia.org/wiki/Altay_Airport
AAU,NSAU,Asau Airport,WS,0 feet,"13° 30' 20.88"" S","172° 37' 40.82"" W",https://en.wikipedia.org/wiki/Asau_Airport
AAV,RPMA,Allah Valley Airport,PH,659 feet,"6° 22' 0.55"" N","124° 45' 3.60"" E",https://en.wikipedia.org/wiki/Allah_Valley_Airport
AAW,OPAB,Abbottabad Airport,PK,0 feet,"34° 12' 0.00"" N","73° 15' 0.00"" E",https://en.wikipedia.org/wiki/Abbottabad_Airport
AAX,SBAX,Araxa Airport (Aeroporto Araxá),BR,"3,276 feet","19° 33' 47.52"" S","46° 57' 37.44"" W",https://en.wikipedia.org/wiki/Araxá_Airport
AAY,OYGD,Al Ghaydah Airport,YE,134 feet,"16° 11' 30.12"" N","52° 10' 30.00"" E",https://en.wikipedia.org/wiki/Al_Ghaydah_Airport
AAZ,MGQZ,Quetzaltenango Airport,GT,"7,779 feet","14° 51' 56.16"" N","91° 30' 7.20"" W",https://en.wikipedia.org/wiki/Quetzaltenango_Airport
ABA,UNAA,Abakan Airport,RU,831 feet,"53° 44' 24.01"" N","91° 23' 6.01"" E",https://en.wikipedia.org/wiki/Abakan_International_Airport
ABB,DNAS,Asaba International Airport,NG,0 feet,"6° 12' 12.00"" N","6° 39' 32.00"" E",https://en.wikipedia.org/wiki/Asaba_International_Airport
ABB,EGUD,RAF Abingdon,UK,0 feet,"51° 41' 25.08"" N","1° 19' 0.01"" W",https://en.wikipedia.org/wiki/RAF_Abingdon
ABC,LEAB,Albacete-Los Llanos Airport,ES,0 feet,"38° 56' 54.61"" N","1° 51' 48.67"" W",
ABD,OIAA,Abadan Airport,IR,10 feet,"30° 22' 15.96"" N","48° 13' 41.87"" E",https://en.wikipedia.org/wiki/Abadan_International_Airport
ABE,KABE,Lehigh Valley International Airport,US,393 feet,"40° 39' 7.50"" N","75° 26' 26.90"" W",https://www.flyabe.com
ABF,NGAB,Abaiang Atoll Airport,KI,0 feet,"1° 47' 55.00"" N","173° 2' 27.60"" E",https://en.wikipedia.org/wiki/Abaiang_Airport
ABH,YAPH,Alpha Airport,AU,"1,255 feet","23° 38' 45.96"" S","146° 35' 2.40"" E",https://en.wikipedia.org/wiki/Alpha_Airport
ABI,KABI,Abilene Regional Airport,US,"1,791 feet","32° 24' 40.75"" N","99° 40' 54.83"" W",http://www.abilenetx.com/Airport/index.htm
ABJ,DIAP,Félix-Houphouët-Boigny International Airport,CI,21 feet,"5° 15' 41.00"" N","3° 55' 34.64"" W",https://www.abidjan-aeroport.com
ABK,HAKD,Kabri Dar Airport,ET,0 feet,"6° 44' 2.40"" N","44° 15' 10.79"" E",https://en.wikipedia.org/wiki/Kabri_Dar_Airport
ABL,PAFM,Ambler Airport,US,334 feet,"67° 6' 22.68"" N","157° 51' 25.18"" W",https://en.wikipedia.org/wiki/Ambler_Airport
ABM,YBAM,Bamaga Injinoo Airport,AU,34 feet,"10° 57' 2.88"" S","142° 27' 32.40"" E",
ABN,SMBN,Albina Airport,SR,0 feet,"5° 30' 45.79"" N","54° 3' 0.35"" W",https://en.wikipedia.org/wiki/Albina_Airstrip
ABO,DIAO,Aboisso Airport,PR,23 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",https://en.wikipedia.org/wiki/Aboisso_Airport
ABQ,KABQ,Albuquerque International Sunport,US,"5,355 feet","35° 2' 24.80"" N","106° 36' 33.10"" W",https://www.abqsunport.com
ABR,KABR,Aberdeen Regional Airport,US,"1,302 feet","45° 26' 56.60"" N","98° 25' 18.60"" W",https://en.wikipedia.org/wiki/Aberdeen_Regional_Airport
ABS,HEBL,Abu Simbel Airport,EG,616 feet,"22° 22' 33.60"" N","31° 36' 42.12"" E",https://en.wikipedia.org/wiki/Abu_Simbel_Airport
ABT,OEBA,Al-Baha Domestic Airport,SA,"5,486 feet","20° 17' 45.96"" N","41° 38' 3.48"" E",https://en.wikipedia.org/wiki/Al-Baha_Domestic_Airport
ABU,WRKA,Haliwen Airport,ID,0 feet,"9° 4' 22.98"" S","124° 54' 18.00"" E",
ABV,DNAA,Nnamdi Azikiwe International Airport,NG,"1,123 feet","9° 0' 24.44"" N","7° 15' 47.41"" E",https://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport
ABX,YMAY,Albury Airport,AU,539 feet,"36° 4' 4.08"" S","146° 57' 28.77"" E",https://en.wikipedia.org/wiki/Albury_Airport
ABY,KABY,Southwest Georgia Regional Airport,US,197 feet,"31° 32' 7.85"" N","84° 11' 40.10"" W",https://en.wikipedia.org/wiki/Southwest_Georgia_Regional_Airport
ABZ,EGPD,Aberdeen Airport,UK,215 feet,"57° 12' 6.84"" N","2° 11' 52.01"" W",https://en.wikipedia.org/wiki/Aberdeen_Airport
ACA,MMAA,General Juan N. Álvarez International Airport,MX,16 feet,"16° 45' 25.56"" N","99° 45' 14.39"" W",https://en.wikipedia.org/wiki/Acapulco_International_Airport
ACB,KACB,Antrim County Airport,US,623 feet,"44° 59' 18.87"" N","85° 11' 54.08"" W",https://en.wikipedia.org/wiki/Antrim_County_Airport
ACC,DGAA,Kotoka International Airport,GH,205 feet,"5° 36' 18.68"" N","0° 10' 0.43"" W",https://en.wikipedia.org/wiki/Kotoka_International_Airport
ACD,SKAD,Alcides Fernández Airport,CO,50 feet,"8° 29' 53.38"" N","77° 16' 26.39"" W",https://en.wikipedia.org/wiki/Alcides_Fernández_Airport
ACE,GCRR,Lanzarote Airport,ES,47 feet,"28° 56' 43.80"" N","13° 36' 18.72"" W",https://en.wikipedia.org/wiki/Lanzarote_Airport
ACF,YBAF,Brisbane Archerfield Airport,AU,0 feet,"27° 34' 13.08"" S","153° 0' 28.78"" E",https://en.wikipedia.org/wiki/Archerfield_Airport
ACH,LSZR,St. Gallen Altenrhein Airport,CH,"1,306 feet","47° 29' 6.00"" N","9° 33' 38.77"" E",https://en.wikipedia.org/wiki/St._Gallen-Altenrhein_Airport
ACI,EGJA,Alderney Airport,UK,290 feet,"49° 42' 21.96"" N","2° 12' 52.99"" W",https://en.wikipedia.org/wiki/Alderney_Airport
ACK,KACK,Nantucket Memorial Airport,US,48 feet,"41° 15' 10.99"" N","70° 3' 36.65"" W",https://en.wikipedia.org/wiki/Nantucket_Memorial_Airport
ACL,SKAG,Cesar Airport,CO,0 feet,"8° 18' 0.00"" N","73° 37' 50.16"" W",https://en.wikipedia.org/wiki/Hacaritama_Airport
ACN,MMCC,Ciudad Acuna International Airport,MX,0 feet,"29° 19' 58.44"" N","101° 5' 56.40"" W",https://en.wikipedia.org/wiki/Ciudad_Acuña_International_Airport
ACO,LSZD,Ascona Airport,CH,0 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",
ACP,OITM,Sahand Airport,IR,0 feet,"37° 20' 52.80"" N","46° 7' 40.44"" E",
ACR,SKAC,Araracuara Airport,CO,0 feet,"0° 34' 59.88"" S","72° 24' 29.88"" W",https://en.wikipedia.org/wiki/Araracuara_Airport
ACS,UNKS,Achinsk Airport,RU,0 feet,"56° 16' 5.88"" N","90° 34' 14.88"" E",
ACT,KACT,Waco Regional Airport,US,516 feet,"31° 36' 40.64"" N","97° 13' 49.87"" W",http://waco-texas.com/airport/airport.htm
ACV,KACV,Arcata-Eureka Airport,US,221 feet,"40° 58' 41.20"" N","124° 6' 31.00"" W",https://en.wikipedia.org/wiki/Arcata-Eureka_Airport
ACY,KACY,Atlantic City International Airport,US,75 feet,"39° 27' 27.30"" N","74° 34' 37.80"" W",https://en.wikipedia.org/wiki/Atlantic_City_International_Airport
ACZ,OIZB,Zabol Airport,IR,39 feet,"31° 5' 53.88"" N","61° 32' 38.04"" E",https://en.wikipedia.org/wiki/Zabol_Airport
ADA,LTAF,Adana Şakirpaşa Airport,TR,65 feet,"36° 58' 55.92"" N","35° 16' 49.44"" E",https://en.wikipedia.org/wiki/Adana_Şakirpaşa_Airport
ADB,LTBJ,Adnan Menderes Airport,TR,412 feet,"38° 17' 32.64"" N","27° 9' 25.20"" E",https://en.wikipedia.org/wiki/İzmir_Adnan_Menderes_Airport
ADD,HAAB,Bole International Airport,ET,"7,630 feet","8° 58' 40.40"" N","38° 47' 57.48"" E",https://en.wikipedia.org/wiki/Addis_Ababa_Bole_International_Airport
ADE,OYAA,Aden International Airport,YE,7 feet,"12° 49' 46.20"" N","45° 1' 43.68"" E",https://en.wikipedia.org/wiki/Aden_International_Airport
ADF,LTCP,Adıyaman Airport,TR,"2,216 feet","37° 43' 53.04"" N","38° 28' 8.04"" E",https://en.wikipedia.org/wiki/Adıyaman_Airport
ADG,KADG,Lenawee County Airport,US,798 feet,"41° 52' 3.63"" N","84° 4' 38.30"" W",https://en.wikipedia.org/wiki/Lenawee_County_Airport
ADH,UEAA,Aldan Airport,RU,"1,016 feet","0° 0' 0.00"" N","0° 0' 0.00"" E",
ADH,UEEA,Aldan Airport,RU,0 feet,"58° 36' 10.07"" N","125° 24' 32.39"" E",https://en.wikipedia.org/wiki/Aldan_Airport
ADI,FYAR,Arandis Airport,NA,"1,905 feet","22° 27' 43.92"" S","14° 58' 48.00"" E",https://en.wikipedia.org/wiki/Arandis_Airport
ADJ,OJAM,Marka International Airport,JO,"2,555 feet","31° 58' 21.72"" N","35° 59' 29.76"" E",https://en.wikipedia.org/wiki/Amman_Civil_Airport
ADK,PADK,Adak Island Airport,US,18 feet,"51° 52' 40.67"" N","176° 38' 45.71"" W",https://en.wikipedia.org/wiki/Adak_Airport
ADL,YPAD,Adelaide International Airport,AU,20 feet,"34° 56' 42.00"" S","138° 31' 51.62"" E",https://en.wikipedia.org/wiki/Adelaide_Airport
ADM,KADM,Ardmore Municipal Airport,US,762 feet,"34° 18' 10.84"" N","97° 1' 10.68"" W",https://en.wikipedia.org/wiki/Ardmore_Municipal_Airport
ADN,SKAN,Andes Airport,CO,0 feet,"5° 40' 0.01"" N","75° 52' 59.88"" W",
ADO,YAMK,Andamooka Airport,AU,0 feet,"30° 26' 17.88"" S","137° 8' 13.18"" E",https://en.wikipedia.org/wiki/Andamooka_Airport
ADP,VCCA,Anuradhapura Airport,LK,324 feet,"8° 18' 5.36"" N","80° 25' 40.45"" E",https://en.wikipedia.org/wiki/Anuradhapura_Airport
ADQ,PADQ,Kodiak Airport,US,78 feet,"57° 45' 0.00"" N","152° 29' 38.41"" W",https://en.wikipedia.org/wiki/Kodiak_Airport
ADR,KPHH,Robert F. Swinnie Airport,US,26 feet,"33° 27' 6.12"" N","79° 31' 34.24"" W",https://en.wikipedia.org/wiki/Robert_F._Swinnie_Airport
ADS,KADS,Addison Airport,US,644 feet,"32° 58' 6.81"" N","96° 50' 11.21"" W",http://www.addisonairport.net
ADT,KADH,Ada Municipal Airport,US,"2,991 feet","39° 50' 24.50"" N","101° 2' 31.30"" W",https://en.wikipedia.org/wiki/Ada_Municipal_Airport
ADU,OITL,Ardabil Airport,IR,"1,287 feet","38° 19' 32.52"" N","48° 25' 27.84"" E",https://en.wikipedia.org/wiki/Ardabil_Airport
ADV,EGWA,Andover Airport,UK,0 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",https://en.wikipedia.org/wiki/RAF_Andover
ADW,KADW,Andrews Air Force Base,US,280 feet,"38° 48' 38.90"" N","76° 52' 1.30"" W",https://en.wikipedia.org/wiki/Andrews_Air_Force_Base
ADX,EGQL,RAF Leuchars,UK,38 feet,"56° 22' 22.43"" N","2° 52' 6.38"" W",https://en.wikipedia.org/wiki/RAF_Leuchars
ADY,FAAL,Alldays Airport,ZA,"2,600 feet","22° 40' 44.40"" S","29° 3' 19.80"" E",
ADZ,SKSP,Gustavo Rojas Pinilla International Airport,CO,19 feet,"12° 35' 0.96"" N","81° 42' 40.32"" W",https://en.wikipedia.org/wiki/Gustavo_Rojas_Pinilla_International_Airport
AEA,NGTB,Abemama Atoll Airport,KI,0 feet,"0° 29' 27.00"" N","173° 49' 44.38"" E",https://en.wikipedia.org/wiki/Abemama_Airport
AEB,ZBGS,Tian Yang Air Base,CN,0 feet,"23° 43' 14.16"" N","106° 57' 36.00"" E",
AED,PARD,Red Dog Airport,US,0 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",
AEG,WIME,Aek Godang Airport,ID,"5,837 feet","1° 24' 0.36"" N","99° 25' 49.79"" E",https://en.wikipedia.org/wiki/Aek_Godang_Airport
AEH,FTTC,Abéché Airport,TD,"1,788 feet","13° 50' 49.20"" N","20° 50' 39.48"" E",https://en.wikipedia.org/wiki/Abéché_Airport
AEL,KAEL,Albert Lea Municipal Airport,US,"1,260 feet","43° 40' 53.50"" N","93° 22' 2.10"" W",https://en.wikipedia.org/wiki/Albert_Lea_Municipal_Airport
AEO,GQNA,Aioun El Atrouss Airport,MR,951 feet,"16° 42' 40.68"" N","9° 38' 16.37"" W",https://en.wikipedia.org/wiki/Aioun_el_Atrouss_Airport
AEP,SABE,Jorge Newbery Airpark,AR,18 feet,"34° 33' 33.12"" S","58° 24' 56.16"" W",https://en.wikipedia.org/wiki/Aeroparque_Jorge_Newbery
AER,URSS,Sochi International Airport,RU,89 feet,"43° 26' 59.65"" N","39° 57' 23.76"" E",http://aer.aero
AES,ENAL,"Ålesund Airport, Vigra",NO,69 feet,"62° 33' 45.00"" N","6° 7' 10.92"" E","https://en.wikipedia.org/wiki/Ålesund_Airport,_Vigra"
AET,PFAL,Allakaket Airport,US,0 feet,"66° 33' 6.49"" N","152° 37' 19.18"" W",https://en.wikipedia.org/wiki/Allakaket_Airport
AEU,OIBA,Abumusa Island Airport,IR,0 feet,"25° 52' 32.52"" N","55° 1' 58.80"" E",https://en.wikipedia.org/wiki/Abu_Musa_Airport
AEX,KAEX,Alexandria International Airport,US,89 feet,"31° 19' 38.64"" N","92° 32' 59.40"" W",http://www.aexairport.org
AEY,BIAR,Akureyri Airport,IS,6 feet,"65° 39' 36.01"" N","18° 4' 21.72"" W",https://en.wikipedia.org/wiki/Akureyri_Airport
AFA,SAMR,San Rafael Airport,AR,"2,470 feet","34° 35' 17.88"" S","68° 24' 14.04"" W",https://en.wikipedia.org/wiki/San_Rafael_Airport_(Argentina)
AFB,FAWK,Waterkloof Air Force Base Airport,ZA,0 feet,"25° 49' 48.00"" S","28° 13' 21.00"" E",https://en.wikipedia.org/wiki/Air_Force_Base_Waterkloof
AFD,FAPA,Port Alfred Airport,ZA,0 feet,"33° 33' 15.12"" S","26° 52' 39.72"" E",https://en.wikipedia.org/wiki/Port_Alfred_Airport
AFE,PAFE,Kake Airport,US,0 feet,"56° 57' 41.04"" N","133° 54' 36.01"" W",https://en.wikipedia.org/wiki/Kake_Airport
AFF,KAFF,United States Air Force Academy Airfield,US,"6,572 feet","38° 58' 10.97"" N","104° 48' 46.19"" W",https://en.wikipedia.org/wiki/United_States_Air_Force_Academy
AFI,SKAM,Amalfi Airport,CO,0 feet,"6° 55' 0.01"" N","75° 4' 0.12"" W",https://en.wikipedia.org/wiki/Amalfi_Airport
AFL,SBAT,Alta Floresta Airport,BR,947 feet,"9° 51' 59.00"" S","56° 6' 18.00"" W",https://en.wikipedia.org/wiki/Alta_Floresta_Airport
AFN,KAFN,Jaffrey Airport - Silver Ranch Airport,US,"1,040 feet","42° 48' 18.48"" N","72° 0' 10.88"" W",https://en.wikipedia.org/wiki/Jaffrey_Airport_–_Silver_Ranch_Airpark
AFO,KAFO,Afton Municipal Airport,US,"6,201 feet","42° 42' 40.49"" N","110° 56' 31.79"" W",https://en.wikipedia.org/wiki/Afton_Municipal_Airport
AFS,UTSN,Sugraly Airport,UZ,0 feet,"41° 36' 50.04"" N","64° 13' 59.52"" E",https://en.wikipedia.org/wiki/Zarafshan_Airport
AFT,AGAF,Afutara Airport,,0 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",https://en.wikipedia.org/wiki/Afutara_Airport
AFW,KAFW,Fort Worth Alliance Airport,US,722 feet,"32° 59' 15.50"" N","97° 19' 7.70"" W",https://www.allianceairport.com
AFY,LTAH,Afyon Airport,TR,"3,310 feet","38° 43' 35.03"" N","30° 36' 3.96"" E",https://en.wikipedia.org/wiki/Afyon_Airport
AFZ,OIMS,Sabzevar National Airport,IR,0 feet,"36° 10' 5.15"" N","57° 35' 42.72"" E",https://en.wikipedia.org/wiki/Sabzevar_Airport
AGA,GMAD,Al Massira Airport,MA,250 feet,"30° 19' 30.00"" N","9° 24' 47.05"" W",https://en.wikipedia.org/wiki/Agadir–Al_Massira_Airport
AGB,EDMA,Augsburg Airport,DE,"1,515 feet","48° 25' 31.00"" N","10° 55' 54.00"" E",https://en.wikipedia.org/wiki/Augsburg_Airport
AGC,KAGC,Allegheny County Airport,US,"1,252 feet","40° 21' 15.85"" N","79° 55' 48.61"" W",https://en.wikipedia.org/wiki/Allegheny_County_Airport
AGE,EDWG,Wangerooge Airport,DE,0 feet,"53° 46' 58.01"" N","7° 54' 50.00"" E",https://en.wikipedia.org/wiki/Wangerooge_Airfield
AGF,LFBA,Agen - La Garenne Aerodrome,FR,204 feet,"44° 10' 28.93"" N","0° 35' 26.00"" E",https://en.wikipedia.org/wiki/Agen_La_Garenne_Airport
AGH,ESTA,Ängelholm-Helsingborg Airport (former ICAO code: ESDB),SE,68 feet,"56° 17' 45.96"" N","12° 50' 49.56"" E",https://en.wikipedia.org/wiki/Ängelholm-Helsingborg_Airport
AGI,SMWA,Wageningen Airport,SR,0 feet,"5° 46' 0.00"" N","56° 37' 59.99"" W",https://en.wikipedia.org/wiki/Wageningen_Airstrip
AGJ,RORA,Aguni Airport,JP,38 feet,"26° 35' 33.00"" N","127° 14' 27.59"" E",http://www.pref.okinawa.jp/airport/index/ag/aguni00.htm
AGM,BGAM,Ammassalik Heliport,,0 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",https://en.wikipedia.org/wiki/Tasiilaq_Heliport
AGN,PAGN,Angoon Seaplane Base,US,0 feet,"57° 30' 12.80"" N","134° 35' 6.34"" W",https://en.wikipedia.org/wiki/Angoon_Seaplane_Base
AGO,KAGO,Magnolia Municipal Airport,US,319 feet,"33° 13' 38.88"" N","93° 13' 1.17"" W",https://en.wikipedia.org/wiki/Magnolia_Municipal_Airport
AGP,LEMG,Pablo Ruiz Picasso Airport,ES,52 feet,"36° 40' 29.64"" N","4° 29' 56.80"" W",https://en.wikipedia.org/wiki/Málaga_Airport
AGQ,LGAG,Agrinion Airport,GR,154 feet,"38° 36' 7.20"" N","21° 21' 4.32"" E",https://en.wikipedia.org/wiki/Agrinion_Airport
AGR,VIAG,Kheria Airport,IN,68 feet,"27° 9' 20.88"" N","77° 57' 39.24"" E",https://en.wikipedia.org/wiki/Agra_Airport
AGS,KAGS,Augusta Regional Airport,US,144 feet,"33° 22' 11.80"" N","81° 57' 52.20"" W",https://www.flyags.com
AGT,SGES,Guarani International Airport (Alejo Garcia Airport),PY,846 feet,"25° 27' 36.00"" S","54° 50' 24.00"" W",https://en.wikipedia.org/wiki/Guaraní_International_Airport
AGU,MMAS,Lic. Jesús Terán Peredo International Airport,MX,"6,112 feet","21° 42' 20.16"" N","102° 19' 4.80"" W",https://en.wikipedia.org/wiki/Aguascalientes_International_Airport
AGV,SVAC,Oswaldo Guevara Mujica Airport,VE,741 feet,"9° 33' 12.15"" N","69° 14' 16.33"" W",https://en.wikipedia.org/wiki/Oswaldo_Guevara_Mujica_Airport
AGX,VOAT,Agatti Island Airport,IN,14 feet,"10° 49' 25.32"" N","72° 10' 33.61"" E",
AGZ,FAAG,Aggeneys Airport,ZA,"1,475 feet","29° 16' 54.48"" S","18° 48' 50.04"" E",https://en.wikipedia.org/wiki/Aggeneys_Airport
AHB,OEAB,Abha Regional Airport,SA,"6,858 feet","18° 14' 25.44"" N","42° 39' 23.76"" E",https://en.wikipedia.org/wiki/Abha_International_Airport
AHC,KAHC,Amedee Army Airfield,US,"4,011 feet","40° 15' 58.19"" N","120° 9' 9.43"" W",https://en.wikipedia.org/wiki/Amedee_Army_Airfield
AHE,NTHE,Ahe Airport,PF,11 feet,"14° 25' 41.16"" S","146° 15' 25.21"" W",https://en.wikipedia.org/wiki/Ahe_Airport
AHH,KAHH,Amery Municipal Airport,US,"1,088 feet","45° 16' 52.13"" N","92° 22' 31.41"" W",https://en.wikipedia.org/wiki/Amery_Municipal_Airport
AHI,WAPA,Amahai Airport,ID,0 feet,"3° 20' 52.80"" S","128° 55' 33.58"" E",https://en.wikipedia.org/wiki/Amahai_Airport
AHL,SYAH,Aishalton Airport,GY,0 feet,"2° 29' 11.51"" N","59° 18' 48.24"" W",
AHM,KS03,Ashland Municipal Sumner Parker Field,US,0 feet,"42° 11' 25.08"" N","122° 39' 39.61"" W",
AHN,KAHN,Athens-Ben Epps Airport,US,808 feet,"33° 56' 54.94"" N","83° 19' 34.85"" W",https://en.wikipedia.org/wiki/Athens_Ben_Epps_Airport
AHO,LIEA,Fertilia Airport (Alghero Airport),IT,87 feet,"40° 37' 55.56"" N","8° 17' 26.77"" E",https://en.wikipedia.org/wiki/Alghero-Fertilia_Airport
AHS,MHAH,Ahuas Airport,HN,0 feet,"15° 28' 19.92"" N","84° 21' 7.93"" W",
AHU,GMTA,Charif Al ldrissi Airport,MA,95 feet,"35° 10' 37.56"" N","3° 50' 22.27"" W",https://en.wikipedia.org/wiki/Cherif_Al_Idrissi_Airport
AHZ,LFHU,Alpe d'Huez Airport,FR,0 feet,"45° 5' 17.88"" N","6° 5' 4.99"" E",https://en.wikipedia.org/wiki/Alpe_d'Huez_Airport
AIA,KAIA,Alliance Municipal Airport,US,"3,931 feet","42° 3' 11.60"" N","102° 48' 13.60"" W",https://en.wikipedia.org/wiki/Alliance_Municipal_Airport
AID,KAID,Anderson Municipal Airport (Darlington Field),US,919 feet,"40° 6' 31.00"" N","85° 36' 46.80"" W",https://en.wikipedia.org/wiki/Anderson_Municipal_Airport
AIF,SBAS,Assis Airport,BR,"1,850 feet","22° 38' 24.00"" S","50° 27' 11.00"" W",https://en.wikipedia.org/wiki/Assis_Airport
AIG,FEFY,Yalinga Airport,CF,"1,521 feet","6° 31' 12.00"" N","23° 15' 36.00"" E",https://en.wikipedia.org/wiki/Yalinga_Airport
AII,HDAS,Ali-Sabieh Airport,DJ,0 feet,"11° 8' 48.80"" N","42° 43' 12.00"" E",https://en.wikipedia.org/wiki/Ali-Sabieh_Airport
AIK,KAIK,Aiken Municipal Airport,US,528 feet,"33° 38' 57.75"" N","81° 41' 6.13"" W",https://en.wikipedia.org/wiki/Aiken_Regional_Airport
AIN,PAWI,Wainwright Airport,US,0 feet,"70° 38' 16.80"" N","159° 59' 41.98"" W",https://en.wikipedia.org/wiki/Wainwright_Airport_(Alaska)
AIN,PAWT,Wainwright Airport,US,0 feet,"70° 36' 48.25"" N","159° 51' 36.00"" W",
AIO,KAIO,Atlantic Municipal Airport,US,"1,182 feet","41° 24' 26.40"" N","95° 2' 48.60"" W",https://en.wikipedia.org/wiki/Atlantic_Municipal_Airport
AIR,SWRP,Aripuanã Airport,BR,0 feet,"10° 15' 1.00"" S","59° 23' 2.00"" W",
AIS,NGTR,Arorae Island Airport,KI,0 feet,"2° 36' 58.00"" S","176° 48' 10.78"" E",https://en.wikipedia.org/wiki/Arorae_Airport
AIT,NCAI,Aitutaki Island Airport,CK,"1,205 feet","18° 49' 51.24"" S","159° 45' 50.43"" W",https://en.wikipedia.org/wiki/Aitutaki_Airport
AIU,NCAT,Atiu Island Airport,CK,0 feet,"19° 58' 4.08"" S","158° 7' 8.41"" W",https://en.wikipedia.org/wiki/Enua_Airport
AIV,KAIV,George Downer Airport,US,150 feet,"33° 6' 23.27"" N","88° 11' 52.05"" W",https://en.wikipedia.org/wiki/George_Downer_Airport
AIY,KAIY,Atlantic City Municipal Airport (Bader Field),US,0 feet,"0° 0' 0.00"" N","0° 0' 0.00"" E",
AIZ,KAIZ,Lee C. Fine Memorial Airport,US,869 feet,"38° 5' 45.73"" N","92° 32' 58.16"" W",https://en.wikipedia.org/wiki/Lee_C._Fine_Memorial_Airport
AJA,LFKJ,Ajaccio Napoleon Bonaparte Airport,FR,18 feet,"41° 55' 24.96"" N","8° 48' 10.51"" E",https://en.wikipedia.org/wiki/Ajaccio_Napoleon_Bonaparte_Airport
AJF,OESK,Al-Jawf Domestic Airport,SA,0 feet,"29° 47' 6.36"" N","40° 5' 59.99"" E",https://en.wikipedia.org/wiki/Al_Jouf_Airport
AJI,LTCO,Agri Airport,TR,"5,462 feet","39° 39' 16.35"" N","43° 1' 33.52"" E",https://en.wikipedia.org/wiki/A%C4%9Fr%C4%B1_Airport
AJJ,GQNJ,Akjoujt Airport,MR,0 feet,"19° 43' 58.86"" N","14° 22' 59.70"" W",https://en.wikipedia.org/wiki/Akjoujt_Airport
AJK,OIHR,Arak Airport,IR,0 feet,"34° 8' 17.16"" N","49° 50' 50.29"" E",https://en.wikipedia.org/wiki/Arak_Airport
AJL,VEAZ,Aizawl Airport,IN,"1,001 feet","23° 44' 47.77"" N","92° 48' 9.96"" E",
